Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,total Ether sent,total ether balance,Total ERC20 tnxs,ERC20 total Ether received,ERC20 total Ether sent contract,ERC20 max val sent,Address
24.26,2792.8,14085.27,5,5,0,4,1,9.999076,40,24.127981,9.998413,39.998645,24.127099,0,120.6354953,0.00441159,0,0,0,0,0x00009277775ac7d0d59eaad8fee3d10ac6c805e8
1.73,0.12,5.43,3,2,0,2,3,98.401926,1902.598074,1000.5,0.176135,1489.639997,666.999528,0,2000.998585,0.001414909,0,0,0,0,0x00009277775dc8g0d59eaad8fee3d10ac6c805e8
9.94,3049.3,1144139.13,372,374,0,3,1,0.09,2.04,0.642807,0.189736,2.039311,0.644624,0,239.800304,0.609583264,3,3,0,100,0x00003456775ac7d0d59eaad8fee3d10ac6c805e8
37977.81,9241.76,335735.55,3,24,0,1,1,0.099034,1.001235,0.398271,1.000591,6.827382,3.185756,0,9.557267144,0.001246032,6,729.1115403,0,0,0x00009277775ac7d0d59eaad8fee3d10ac6c805e8
0,3726.89,741651.3,0,199,1,5,0,0,1.375615,0.925437,0,0,0,0,0,184.1620324,2,1.31939655,0,0,0x00009277995ac7d0d59eaad8fee3d10ac6c805e8
165.1,0,330.2,2,1,0,1,2,101,101,101,0.00437,100.994646,50.499508,0,100.9990158,0.000984218,0,0,0,0,0x00009277775ac7d0d59eaad8fee3d10ac6c808e4
5658.36,218.96,412104,50,590,0,5,2,0.190722,11.534469,1.689301,0.099141,94.683668,19.932709,0,996.6354339,0.052073462,4,602.7052959,0,0,0x00003377775ac7d0d59eaad8fee3d10ac6c805e10
77.83,2271.79,954439.85,354,408,0,5,2,0.010011,10,0.808907,0.497014,6.182276,0.931421,0,329.7230394,0.310841896,4,16646.03167,0,0,0x00009277215ac7d0d59eaad8fee3d10ac6c805e11
66.63,7081.72,407456.37,57,57,0,5,2,1,3.99,1.086914,0.993083,3.989352,1.086191,0,61.91290831,0.041211269,0,0,0,0,0x0002b44ddb1476db43c868bd494422ee4c136fed
0,696.92,4587.33,1,4,0,4,1,0.008483,0.04034,0.026431,0.105303,0.105303,0.105303,0,0.10530293,0.00042002,0,0,0,0,0x0003b44ddb1476db43c868bd494422ee4c136fed
9164.18,1371.79,215768.15,21,17,0,2,4,0.0214,4.995,1.329055,0,4.993,1.077329,0,22.62390288,-0.029971524,16,9.11E-13,0,0,0x0007g44ddb1476db43c868bd494422ee4c136fed
0,5423.43,157279.52,0,29,1,5,0,0,91.6254,19.86889,0,0,0,0,0,576.1978118,2,601.8078311,0,0,"0x0002bda54cb772d040f779e88eb453cac0daa244	"
17069.33,4865.25,789644.82,36,36,0,27,6,0.010014,28.443838,11.21268,0.013723,33.937,12.625406,0,454.5146226,-50.858137,2,68.78872937,0,0,"0x0002vgv54cb772d040f779e88eb453cac0daa244	"
3905.19,28297.95,774798.5,10,26,0,6,3,0.005,40.4,6.624286,0,63.499614,17.222207,0,172.2220704,0.009367581,3,602.167806,0,2.167806,"0x0006fda54cb772d040f779e88eb453cac0daa244	"
0,2111.7,291414.15,0,138,1,3,0,0,1.110365,0.41877,0,0,0,0,0,57.79029514,4,5.256290693,0,0,"0x0002yhg54cb772d040f779e88eb453cac0daa244	"
1686.26,1533.95,32811.37,14,6,0,5,3,0.001,2.00001,0.754152,0,2.521698,0.322264,0,4.511698232,0.013213708,4,3047,0,1526,"0x00038e6ba2fd5c09aedb96697c8d7b8fa6632e5e	"
1457.31,34.12,4815.43,3,13,0,10,3,1,2.501052,1.348445,1.000875,11.277872,5.842916,0,17.52874745,0.0010374,,,,,"0x00039e6ba2fd5c09aedb96697c8d7b8fa6632e5e	"
3976.5,834.77,9622.53,2,2,0,1,2,0.586269,0.947515,0.766892,0.585408,0.947284,0.766346,0,1.53269261,0.001092,1,1.337,0,0,"0x00055e6ba2fd5c09aedb96697c8d7b8fa6632e5e	"
112.9,31.87,321.42,2,3,0,3,1,0.00102,0.8178,0.439607,0.50039,0.817506,0.658948,0,1.317896,0.000924,1,1.337,0,0,"0x00098e7ga2fd5c09aedb96697c8d7b8fa6632e5e	"
2300.37,65.1,73091,29,98,0,89,26,0.000784,15.729068,0.383225,0,36.7,1.314957,0,38.13376706,-0.577721002,96,142677.3829,0,81324.0746,0x00009278885ac7d0d59eaad8fee3d10ac6c805e23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0x00062d1dd1afb6fb02540ddad9cdebfe568e0d89
59129.36,0,118258.72,2,1,0,1,2,0.68,0.68,0.68,0.0033,0.676,0.33965,0,0.6793,0.0007,1,14,0,0,0x00062d3rd1afb6fb02540ddad9cdebfe568e0d89
1819.9,638.12,8744.77,2,8,0,7,2,0,1.01947,0.343872,0.74909,2.000162,1.374626,0,2.74925268,0.001722,1,13.37,0,0,0x00009277775ac7d0d59eaad8fee3d10ac6c805e26
6556.08,255.89,53728.05,8,5,0,4,8,0.0001,50,23.40002,11.996572,15,14.624572,0,116.996572,0.003528,1,1386.486552,0,0,0x00056r1dd1afb6fb02540ddad9cdebfe568e0d89
